,1375,1425,1475,1525,1575,1625,1675,1725,1775
1995,-805.0,-607.5,-320.0,2.5,170.0,445.0,1270.0,1700.0,
1996,-1377.5,-1142.5,-960.0,-637.5,-425.0,-175.0,1605.0,2262.5,2632.5
1997,-650.0,-800.0,-850.0,-575.0,-250.0,-325.0,2225.0,2850.0,3125.0
1998,-1255.0,-997.5,-700.0,-260.0,-100.0,102.5,905.0,1250.0,
1999,-900.0,-800.0,-650.0,-400.0,-300.0,-125.0,875.0,1100.0,1500.0
2000,-525.0,-600.0,-250.0,-75.0,25.0,400.0,1800.0,2200.0,2700.0
2001,-1087.5,-980.0,-850.0,-600.0,-342.5,-50.0,830.0,1237.5,1532.5
2002,-1087.5,-1377.5,-1297.5,-927.5,-797.5,-540.0,367.5,1965.0,1962.5
2003,-2197.5,-2157.5,-1957.5,-1617.5,-1405.0,-1210.0,372.5,1157.5,1605.0
2004,-1090.0,-1147.5,-1005.0,-862.5,-807.5,-365.0,1165.0,1592.5,1497.5
2005,-1582.5,-1555.0,-1362.5,-702.5,-710.0,-360.0,400.0,280.0,242.5
2006,-2925.0,-2915.0,-2402.5,-1982.5,-1622.5,-777.5,607.5,1352.5,1287.5
2007,-650.0,-935.0,-975.0,-677.5,-760.0,-410.0,755.0,810.0,987.5
2008,-987.5,-677.5,-395.0,5.0,-125.0,770.0,1950.0,2220.0,2485.0
2009,-3102.5,-2825.0,-2327.5,-1812.5,-1315.0,-555.0,1472.5,3080.0,4237.5
2010,-1055.0,-1055.0,-917.5,-612.5,-420.0,-120.0,420.0,587.5,770.0
2011,-2127.5,-2230.0,-2080.0,-1610.0,-1445.0,-1107.5,170.0,782.5,692.5
2012,-785.0,-612.5,-535.0,-215.0,2.5,297.5,1020.0,1220.0,1370.0
