YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1951,3486,SJ,FINSTERWALDERBREEN,,,,-1350.0,Multi-annual observation (-2700 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1952,3486,SJ,FINSTERWALDERBREEN,,,,-1350.0,Multi-annual observation (-2700 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1953,3486,SJ,FINSTERWALDERBREEN,,,,50.0,Multi-annual observation (100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1954,3486,SJ,FINSTERWALDERBREEN,,,,50.0,Multi-annual observation (100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1955,3486,SJ,FINSTERWALDERBREEN,,,,-1200.0,Multi-annual observation (-2400 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1956,3486,SJ,FINSTERWALDERBREEN,,,,-1200.0,Multi-annual observation (-2400 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1957,3486,SJ,FINSTERWALDERBREEN,,,,200.0,Multi-annual observation (400 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1958,3486,SJ,FINSTERWALDERBREEN,,,,200.0,Multi-annual observation (400 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1959,3486,SJ,FINSTERWALDERBREEN,,,,-50.0,Multi-annual observation (-100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1960,3486,SJ,FINSTERWALDERBREEN,,,,-50.0,Multi-annual observation (-100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1961,3486,SJ,FINSTERWALDERBREEN,,,,-1150.0,Multi-annual observation (-2300 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1962,3486,SJ,FINSTERWALDERBREEN,,,,-1150.0,Multi-annual observation (-2300 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1963,3486,SJ,FINSTERWALDERBREEN,,,,-100.0,Multi-annual observation (-200 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1964,3486,SJ,FINSTERWALDERBREEN,,,,-100.0,Multi-annual observation (-200 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1965,3486,SJ,FINSTERWALDERBREEN,,,,-400.0,Multi-annual observation (-800 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1966,3486,SJ,FINSTERWALDERBREEN,,,,-400.0,Multi-annual observation (-800 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1967,3486,SJ,FINSTERWALDERBREEN,,,,-550.0,Multi-annual observation (-1100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
1968,3486,SJ,FINSTERWALDERBREEN,,,,-550.0,Multi-annual observation (-1100 mm w.e.) evenly distributed to corresponding years.,RGI50-07.00231
