YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1976,807,KZ,PARTIZAN,0.14,,,270.0,,RGI50-13.08533
1977,807,KZ,PARTIZAN,0.14,,,-80.0,,RGI50-13.08533
1978,807,KZ,PARTIZAN,0.14,,,-470.0,,RGI50-13.08533
1979,807,KZ,PARTIZAN,0.14,,,57.0,,RGI50-13.08533
1980,807,KZ,PARTIZAN,0.14,,,70.0,,RGI50-13.08533
1981,807,KZ,PARTIZAN,0.14,,,410.0,,RGI50-13.08533
1982,807,KZ,PARTIZAN,0.14,,,150.0,,RGI50-13.08533
1983,807,KZ,PARTIZAN,0.14,,,210.0,,RGI50-13.08533
1984,807,KZ,PARTIZAN,0.14,,,-290.0,,RGI50-13.08533
1985,807,KZ,PARTIZAN,0.14,,,200.0,,RGI50-13.08533
1986,807,KZ,PARTIZAN,,,,220.0,,RGI50-13.08533
1987,807,KZ,PARTIZAN,,,,350.0,,RGI50-13.08533
1988,807,KZ,PARTIZAN,,,,160.0,,RGI50-13.08533
1989,807,KZ,PARTIZAN,,,,260.0,,RGI50-13.08533
1990,807,KZ,PARTIZAN,,,,-90.0,,RGI50-13.08533
