YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1986,3126,IS,TUNGNAARJOKULL,309.0,1510.0,-1480.0,30.0,,RGI50-06.00443
1992,3126,IS,TUNGNAARJOKULL,309.0,1750.0,-1510.0,240.0,,RGI50-06.00443
1993,3126,IS,TUNGNAARJOKULL,309.0,1870.0,-1740.0,130.0,,RGI50-06.00443
1994,3126,IS,TUNGNAARJOKULL,309.0,1700.0,-1840.0,-140.0,,RGI50-06.00443
1995,3126,IS,TUNGNAARJOKULL,309.0,,,-990.0,,RGI50-06.00443
1997,3126,IS,TUNGNAARJOKULL,309.0,,,-1880.0,,RGI50-06.00443
1998,3126,IS,TUNGNAARJOKULL,309.0,,,-1480.0,,RGI50-06.00443
1999,3126,IS,TUNGNAARJOKULL,309.0,,,-1020.0,,RGI50-06.00443
2000,3126,IS,TUNGNAARJOKULL,,,,-1280.0,,RGI50-06.00443
2001,3126,IS,TUNGNAARJOKULL,352.0,1065.0,-2694.0,-1629.0,,RGI50-06.00443
2002,3126,IS,TUNGNAARJOKULL,352.0,1418.0,-2694.0,-1276.0,,RGI50-06.00443
2003,3126,IS,TUNGNAARJOKULL,352.0,1989.0,-3209.0,-1220.0,,RGI50-06.00443
2004,3126,IS,TUNGNAARJOKULL,352.0,1243.0,-2942.0,-1699.0,,RGI50-06.00443
2005,3126,IS,TUNGNAARJOKULL,352.0,1177.0,-2934.0,-1757.0,,RGI50-06.00443
2006,3126,IS,TUNGNAARJOKULL,360.0,,,-1569.0,Preliminary values.,RGI50-06.00443
2007,3126,IS,TUNGNAARJOKULL,360.0,,,-997.0,Preliminary values.,RGI50-06.00443
2008,3126,IS,TUNGNAARJOKULL,,,,-1340.0,,RGI50-06.00443
2009,3126,IS,TUNGNAARJOKULL,360.0,1650.0,-2459.0,-809.0,,RGI50-06.00443
2010,3126,IS,TUNGNAARJOKULL,,1080.0,-4590.0,-3510.0,,RGI50-06.00443
2011,3126,IS,TUNGNAARJOKULL,360.0,1959.0,-3339.0,-1380.0,,RGI50-06.00443
2012,3126,IS,TUNGNAARJOKULL,345.0,1634.0,-2928.0,-1294.0,,RGI50-06.00443
2013,3126,IS,TUNGNAARJOKULL,345.0,1180.0,-1990.0,-810.0,,RGI50-06.00443
2014,3126,IS,TUNGNAARJOKULL,345.0,1372.0,-2906.0,-1535.0,,RGI50-06.00443
2015,3126,IS,TUNGNAARJOKULL,,1964.0,-1768.0,196.0,,RGI50-06.00443
2016,3126,IS,TUNGNAARJOKULL,,1523.0,-2938.0,-1415.0,,RGI50-06.00443
2017,3126,IS,TUNGNAARJOKULL,345.0,2171.0,-2619.0,-449.0,,RGI50-06.00443
2018,3126,IS,TUNGNAARJOKULL,345.0,1580.0,-1900.0,-320.0,,RGI50-06.00443
2019,3126,IS,TUNGNAARJOKULL,332.0,,-3402.0,-1914.0,,RGI50-06.00443
2020,3126,IS,TUNGNAARJOKULL,330.0,1530.0,-2304.0,-774.0,,RGI50-06.00443
