YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
2009,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.975,1269.0,-1881.0,-612.0,,RGI50-11.00647
2010,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.975,1139.0,-1608.0,-469.0,,RGI50-11.00647
2011,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.9748381000000002,860.0,-1676.0,-816.0,calculated from submitted values,RGI50-11.00647
2012,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.8246441999999998,847.0,-2596.0,-1748.0,Calculated from submitted values.,RGI50-11.00647
2013,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.8246,1431.0,-1256.0,175.0,calculated from submitted values,RGI50-11.00647
2014,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.8240618999999998,1498.0,-1353.0,146.0,Calculated from submitted values.,RGI50-11.00647
2015,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.6952169,1037.0,-2658.0,-1622.0,Calculated from submitted values.,RGI50-11.00647
2016,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.6952169999999998,1024.0,-1817.0,-793.0,Calculated from submitted values.,RGI50-11.00647
2017,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,1.6952169,1001.0,-2241.0,-1239.0,calculated from submitted values.,RGI50-11.00647
2018,645,IT,RIES OCC. (VEDR. DI) / RIESERF. WESTL.,,,,-1365.0,,RGI50-11.00647
