YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1961,39,CA,DEVON ICE CAP NW,,109.0,-306.0,-197.0,,RGI50-03.02435
1962,39,CA,DEVON ICE CAP NW,,97.0,-456.0,-359.0,,RGI50-03.02435
1963,39,CA,DEVON ICE CAP NW,,150.0,-106.0,44.0,,RGI50-03.02435
1964,39,CA,DEVON ICE CAP NW,,115.0,10.0,125.0,,RGI50-03.02435
1965,39,CA,DEVON ICE CAP NW,,87.0,-23.0,64.0,,RGI50-03.02435
1966,39,CA,DEVON ICE CAP NW,,104.0,-239.0,-135.0,,RGI50-03.02435
1967,39,CA,DEVON ICE CAP NW,,151.0,-178.0,-27.0,,RGI50-03.02435
1968,39,CA,DEVON ICE CAP NW,,112.0,-287.0,-175.0,,RGI50-03.02435
1969,39,CA,DEVON ICE CAP NW,,115.0,-290.0,-175.0,,RGI50-03.02435
1970,39,CA,DEVON ICE CAP NW,,115.0,-76.0,39.0,,RGI50-03.02435
1971,39,CA,DEVON ICE CAP NW,,120.0,-189.0,-69.0,,RGI50-03.02435
1972,39,CA,DEVON ICE CAP NW,,116.0,-14.0,102.0,,RGI50-03.02435
1973,39,CA,DEVON ICE CAP NW,,106.0,-201.0,-95.0,,RGI50-03.02435
1974,39,CA,DEVON ICE CAP NW,,110.0,-187.0,-77.0,,RGI50-03.02435
1975,39,CA,DEVON ICE CAP NW,1695.1,94.0,-163.0,-69.0,Area from table SECTION.,RGI50-03.02435
1976,39,CA,DEVON ICE CAP NW,1695.1,111.0,65.0,176.0,,RGI50-03.02435
1977,39,CA,DEVON ICE CAP NW,1695.1,134.0,-233.0,-99.0,,RGI50-03.02435
1978,39,CA,DEVON ICE CAP NW,1695.1,107.0,-80.0,27.0,,RGI50-03.02435
1979,39,CA,DEVON ICE CAP NW,1695.1,101.0,-62.0,39.0,,RGI50-03.02435
1980,39,CA,DEVON ICE CAP NW,1695.1,101.0,-158.0,-57.0,,RGI50-03.02435
1981,39,CA,DEVON ICE CAP NW,1695.1,115.0,-261.0,-146.0,,RGI50-03.02435
1982,39,CA,DEVON ICE CAP NW,1695.1,108.0,-203.0,-95.0,,RGI50-03.02435
1983,39,CA,DEVON ICE CAP NW,1695.1,147.0,-42.0,105.0,,RGI50-03.02435
1984,39,CA,DEVON ICE CAP NW,1695.1,127.0,-158.0,-31.0,,RGI50-03.02435
1985,39,CA,DEVON ICE CAP NW,1695.1,137.0,-245.0,-108.0,,RGI50-03.02435
1986,39,CA,DEVON ICE CAP NW,1696.0,,,184.0,Data from Dyurgerov M. (2002). ,RGI50-03.02435
1987,39,CA,DEVON ICE CAP NW,1667.6,144.0,-100.0,44.0,,RGI50-03.02435
1988,39,CA,DEVON ICE CAP NW,1667.6,86.0,-302.0,-216.0,,RGI50-03.02435
1989,39,CA,DEVON ICE CAP NW,1667.6,113.0,-182.0,-69.0,,RGI50-03.02435
1990,39,CA,DEVON ICE CAP NW,1667.6,144.0,-310.0,-166.0,,RGI50-03.02435
1991,39,CA,DEVON ICE CAP NW,1667.6,84.0,-314.0,-230.0,,RGI50-03.02435
1992,39,CA,DEVON ICE CAP NW,1667.6,139.0,-43.0,96.0,,RGI50-03.02435
1993,39,CA,DEVON ICE CAP NW,1667.6,103.0,-165.0,-62.0,,RGI50-03.02435
1994,39,CA,DEVON ICE CAP NW,1667.6,62.0,-94.0,-32.0,,RGI50-03.02435
1995,39,CA,DEVON ICE CAP NW,1667.6,87.0,-234.0,-147.0,,RGI50-03.02435
1996,39,CA,DEVON ICE CAP NW,1699.0,120.0,-201.0,-80.0,Data from Dyurgerov M. (2002). ,RGI50-03.02435
1997,39,CA,DEVON ICE CAP NW,1699.0,134.0,-147.0,-13.0,Data from Dyurgerov M. (2002). ,RGI50-03.02435
1998,39,CA,DEVON ICE CAP NW,1699.0,141.0,-417.0,-276.0,Data from Dyurgerov M. (2002). ,RGI50-03.02435
1999,39,CA,DEVON ICE CAP NW,1667.6,84.0,-301.0,-217.0,,RGI50-03.02435
2000,39,CA,DEVON ICE CAP NW,1667.6,99.0,-418.0,-320.0,,RGI50-03.02435
2001,39,CA,DEVON ICE CAP NW,,82.0,-641.0,-559.0,,RGI50-03.02435
2002,39,CA,DEVON ICE CAP NW,,104.0,-125.0,-21.0,,RGI50-03.02435
2003,39,CA,DEVON ICE CAP NW,,78.0,-216.0,-139.0,,RGI50-03.02435
2004,39,CA,DEVON ICE CAP NW,,81.0,-112.0,46.0,R.M. Koerner reported Bn as +46 mm w.e. (not -46 as given in GMBB 9 pressproof).,RGI50-03.02435
2005,39,CA,DEVON ICE CAP NW,,133.0,-374.0,-262.0,,RGI50-03.02435
2006,39,CA,DEVON ICE CAP NW,1667.6,151.0,-386.0,-242.0,,RGI50-03.02435
2007,39,CA,DEVON ICE CAP NW,1667.6,86.0,-385.0,-294.0,,RGI50-03.02435
2008,39,CA,DEVON ICE CAP NW,1667.6,89.0,-665.0,-577.0,,RGI50-03.02435
2009,39,CA,DEVON ICE CAP NW,1667.6,126.0,-649.0,-523.0,,RGI50-03.02435
2010,39,CA,DEVON ICE CAP NW,1667.6,118.0,-534.0,-417.0,,RGI50-03.02435
2011,39,CA,DEVON ICE CAP NW,1667.6,81.0,-767.0,-683.0,,RGI50-03.02435
2012,39,CA,DEVON ICE CAP NW,1667.6,158.0,-658.0,-503.0,,RGI50-03.02435
2013,39,CA,DEVON ICE CAP NW,1668.0,177.0,-153.0,24.0,,RGI50-03.02435
