YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1996,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.119,,,-534.0,Massbalance calculated from submitted values.
1997,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.119,,,-12.0,Massbalance calculated from submitted values.
1998,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,,,-1210.0,Massbalance calculated from submitted values.
1999,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,1823.0,-2364.0,-541.0,Massbalance calculated from submitted values.
2000,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,1745.0,-3124.0,-1379.0,Massbalance calculated from submitted values.
2001,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,,,48.0,Massbalance calculated from submitted values.
2002,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,,,-1294.0,Massbalance calculated from submitted values.
2003,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,,,-2078.0,Massbalance calculated from submitted values.
2004,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.067,,,-427.0,Massbalance calculated from submitted values.
2005,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.049,,,-963.0,Massbalance calculated from submitted values.
2006,675,IT,PENDENTE (VEDR.) / HANGENDERF.,1.033,1517.0,-3297.0,-1780.0,
2007,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.992,763.0,-2917.0,-2154.0,
2008,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,1539.0,-3023.0,-1484.0,
2009,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,2418.0,-3262.0,-844.0,
2010,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,1703.0,-1837.0,-134.0,
2011,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,1292.0,-3092.0,-1800.0,
2012,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,1442.0,-3378.0,-1938.0,Annual balance calculated from submitted values.
2013,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.852,1520.0,-2310.0,-790.0,
2014,675,IT,PENDENTE (VEDR.) / HANGENDERF.,8.822,175.0,-186.0,-11.0,Calculated from submitted values.
2015,675,IT,PENDENTE (VEDR.) / HANGENDERF.,0.851,1702.0,-3202.0,-1500.0,Calculated from submitted values.
2016,675,IT,PENDENTE (VEDR.) / HANGENDERF.,,,,-1258.0,preliminary value
