YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1960,703,RU,BEZENGI,,,,470.0,,RGI50-12.01252
1961,703,RU,BEZENGI,,,,-620.0,,RGI50-12.01252
1962,703,RU,BEZENGI,,,,-960.0,,RGI50-12.01252
1963,703,RU,BEZENGI,,,,250.0,,RGI50-12.01252
1964,703,RU,BEZENGI,,,,30.0,,RGI50-12.01252
1965,703,RU,BEZENGI,,,,-600.0,,RGI50-12.01252
1966,703,RU,BEZENGI,,,,40.0,,RGI50-12.01252
1967,703,RU,BEZENGI,,,,290.0,,RGI50-12.01252
1968,703,RU,BEZENGI,,,,-910.0,,RGI50-12.01252
1969,703,RU,BEZENGI,,,,-530.0,,RGI50-12.01252
1970,703,RU,BEZENGI,,,,130.0,,RGI50-12.01252
1971,703,RU,BEZENGI,,,,-970.0,,RGI50-12.01252
1972,703,RU,BEZENGI,,,,-860.0,,RGI50-12.01252
1973,703,RU,BEZENGI,,,,-980.0,,RGI50-12.01252
1974,703,RU,BEZENGI,,,,-820.0,,RGI50-12.01252
