YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1976,1344,CL,ECHAURREN NORTE,0.4,1390.0,-2310.0,-920.0,Data reported for MBB No. 8. Tipo de año: Niña.,RGI50-17.13957
1977,1344,CL,ECHAURREN NORTE,0.4,1890.0,-3190.0,-1300.0,Data reported for MBB No. 8.,RGI50-17.13957
1978,1344,CL,ECHAURREN NORTE,0.4,3230.0,-3050.0,180.0,Data reported for MBB No. 8.,RGI50-17.13957
1979,1344,CL,ECHAURREN NORTE,0.4,2370.0,-1700.0,670.0,Data reported for MBB No. 8.,RGI50-17.13957
1980,1344,CL,ECHAURREN NORTE,0.4,2900.0,-2600.0,300.0,Data reported for MBB No. 8.,RGI50-17.13957
1981,1344,CL,ECHAURREN NORTE,0.4,3110.0,-2750.0,360.0,Data reported for MBB No. 8.,RGI50-17.13957
1982,1344,CL,ECHAURREN NORTE,0.4,1560.0,-3980.0,-2420.0,Data reported for MBB No. 8.,RGI50-17.13957
1983,1344,CL,ECHAURREN NORTE,0.4,5810.0,-2110.0,3700.0,Data reported for MBB No. 8.Tipo de año: Niño.,RGI50-17.13957
1984,1344,CL,ECHAURREN NORTE,0.4,1890.0,-3130.0,-1240.0,Data reported for MBB No. 8.Tipo de año: Niño.,RGI50-17.13957
1985,1344,CL,ECHAURREN NORTE,0.4,2240.0,-1900.0,340.0,Data reported for MBB No. 8.,RGI50-17.13957
1986,1344,CL,ECHAURREN NORTE,0.4,1870.0,-3570.0,-1700.0,,RGI50-17.13957
1987,1344,CL,ECHAURREN NORTE,0.4,3030.0,-2080.0,950.0,Data reported for MBB No. 8.,RGI50-17.13957
1988,1344,CL,ECHAURREN NORTE,0.4,4910.0,-2610.0,2300.0,"Year without ablation data. Bw, Bs and Bn corrected according to F. Escobar Tipo de año: Niño.",RGI50-17.13957
1989,1344,CL,ECHAURREN NORTE,0.4,1830.0,-3090.0,-1260.0,Data reported for MBB No. 8.Tipo de año: Niña.,RGI50-17.13957
1990,1344,CL,ECHAURREN NORTE,0.4,1610.0,-2910.0,-1300.0,"Year without ablation data. Bw, Bs and Bn corrected according to F. Escobar.",RGI50-17.13957
1991,1344,CL,ECHAURREN NORTE,0.4,2010.0,-2870.0,-860.0,"Year without ablation data. Bw, Bs and Bn corrected according to F. Escobar.",RGI50-17.13957
1992,1344,CL,ECHAURREN NORTE,0.4,3450.0,-1710.0,1740.0,Data reported for MBB No. 8.Tipo de año: Niño.,RGI50-17.13957
1993,1344,CL,ECHAURREN NORTE,0.4,2050.0,-2340.0,-290.0,Data reported for MBB No. 8.,RGI50-17.13957
1994,1344,CL,ECHAURREN NORTE,0.4,2570.0,-4430.0,-1860.0,Data reported for MBB No. 8.,RGI50-17.13957
1995,1344,CL,ECHAURREN NORTE,0.4,2640.0,-3590.0,-950.0,Data reported for MBB No. 8.,RGI50-17.13957
1996,1344,CL,ECHAURREN NORTE,0.4,1760.0,-2940.0,-1180.0,Data reported for MBB No. 8.,RGI50-17.13957
1997,1344,CL,ECHAURREN NORTE,0.4,480.0,-3010.0,-2530.0,"Year without ablation data. Bw, Bs and Bn corrected according to F. Escobar. Tipo de año: Niña.",RGI50-17.13957
1998,1344,CL,ECHAURREN NORTE,0.4,5030.0,-2630.0,2400.0,,RGI50-17.13957
1999,1344,CL,ECHAURREN NORTE,0.4,720.0,-5000.0,-4280.0,,RGI50-17.13957
2000,1344,CL,ECHAURREN NORTE,0.4,2100.0,-2850.0,-750.0,,RGI50-17.13957
2001,1344,CL,ECHAURREN NORTE,,4660.0,-2870.0,1790.0,,RGI50-17.13957
2002,1344,CL,ECHAURREN NORTE,,3070.0,-3290.0,-220.0,,RGI50-17.13957
2003,1344,CL,ECHAURREN NORTE,,4650.0,-2750.0,1900.0,,RGI50-17.13957
2004,1344,CL,ECHAURREN NORTE,,2020.0,-2570.0,-550.0,,RGI50-17.13957
2005,1344,CL,ECHAURREN NORTE,,3320.0,-4100.0,-780.0,,RGI50-17.13957
2006,1344,CL,ECHAURREN NORTE,,3590.0,-3110.0,480.0,,RGI50-17.13957
2007,1344,CL,ECHAURREN NORTE,,2590.0,-2720.0,-130.0,,RGI50-17.13957
2008,1344,CL,ECHAURREN NORTE,,1970.0,-2510.0,-540.0,,RGI50-17.13957
2009,1344,CL,ECHAURREN NORTE,,3200.0,-3120.0,80.0,,RGI50-17.13957
2010,1344,CL,ECHAURREN NORTE,,1900.0,-4010.0,-2110.0,,RGI50-17.13957
2011,1344,CL,ECHAURREN NORTE,,1090.0,-2360.0,-1270.0,,RGI50-17.13957
2012,1344,CL,ECHAURREN NORTE,,950.0,-3330.0,-2380.0,,RGI50-17.13957
2013,1344,CL,ECHAURREN NORTE,,1180.0,-2210.0,-1030.0,,RGI50-17.13957
2014,1344,CL,ECHAURREN NORTE,,1960.0,-2900.0,-940.0,,RGI50-17.13957
2015,1344,CL,ECHAURREN NORTE,,1180.0,-2900.0,-1720.0,,RGI50-17.13957
