YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1976,59,CA,SYKORA,112.8,2110.0,-1280.0,830.0,,RGI50-02.04114
1977,59,CA,SYKORA,112.8,1550.0,-2060.0,-510.0,,RGI50-02.04114
1978,59,CA,SYKORA,112.8,1680.0,-1840.0,-160.0,,RGI50-02.04114
1979,59,CA,SYKORA,112.8,1530.0,-2610.0,-1080.0,,RGI50-02.04114
1980,59,CA,SYKORA,112.8,1790.0,-2300.0,-510.0,,RGI50-02.04114
1981,59,CA,SYKORA,25.35,2170.0,-2040.0,130.0,,RGI50-02.04114
1982,59,CA,SYKORA,25.35,2090.0,-2210.0,-120.0,,RGI50-02.04114
1983,59,CA,SYKORA,25.35,2200.0,-1560.0,650.0,,RGI50-02.04114
1984,59,CA,SYKORA,25.35,1930.0,-1180.0,750.0,,RGI50-02.04114
1985,59,CA,SYKORA,25.35,1530.0,-2900.0,-1370.0,,RGI50-02.04114
